# game instances,# players,avg %error
340,50,34.11190476
345,50,34.11190476
350,50,34.11190476
355,50,34.11190476
360,50,34.11190476
365,50,34.11190476
370,50,34.11190476
375,50,34.11190476
380,50,34.11190476
385,50,34.11190476
390,50,34.11190476
395,50,34.11190476
400,50,34.11190476
405,50,34.11190476
410,50,34.11190476
415,50,34.11190476
420,50,34.11190476
425,50,34.11190476
430,50,34.11190476
435,50,34.11190476
440,50,34.11190476
445,50,34.11190476
450,50,34.11190476
455,50,34.11190476
460,50,34.11190476
465,50,34.11190476
470,50,34.11190476
475,50,34.11190476
480,50,34.11190476
485,50,34.11190476
490,50,34.11190476
495,50,34.11190476
500,50,34.11190476
5,60,45.13125763
10,60,54.76484421
15,60,56.72354497
20,60,51.14351852
25,60,49.88955026
30,60,39.77910053
35,60,40.98478836
40,60,37.5787037
45,60,47.93915344
50,60,43.30489418
55,60,47.50198413
60,60,25.8968254
65,60,51.13955026
70,60,47.12698413
75,60,43.36838624
80,60,41.57407407
85,60,38.43320106
90,60,51.51587302
95,60,53.83068783
100,60,66.31283069
105,60,69.47420635
110,60,55.58465608
115,60,62.79431217
120,60,62.46097884
125,60,45.4537037
130,60,62.25793651
135,60,62.25793651
140,60,61.3531746
145,60,45.60846561
150,60,45.60846561
155,60,57.90873016
160,60,59.07539683
165,60,59.07539683
170,60,44.39550265
175,60,40.91666667
180,60,58.83730159
185,60,56.31878307
190,60,30.21494709
195,60,32.21494709
200,60,59.98544974
205,60,32.21494709
210,60,32.21494709
215,60,31.88161376
220,60,32.21494709
225,60,32.21494709
230,60,32.21494709
235,60,32.21494709
240,60,32.21494709
245,60,32.21494709
250,60,32.21494709
255,60,32.21494709
260,60,32.21494709
265,60,32.21494709
270,60,32.21494709
275,60,31.38161376
280,60,32.21494709
285,60,32.21494709
290,60,32.21494709
295,60,31.38161376
300,60,32.21494709
305,60,32.21494709
310,60,32.21494709
315,60,32.21494709
320,60,32.21494709
325,60,32.21494709
330,60,32.21494709
335,60,32.21494709
340,60,32.21494709
345,60,32.21494709
350,60,32.21494709
355,60,32.21494709
360,60,32.21494709
365,60,32.21494709
370,60,32.21494709
375,60,32.21494709
380,60,32.21494709
385,60,32.21494709
390,60,32.21494709
395,60,32.21494709
400,60,32.21494709
405,60,32.21494709
410,60,32.21494709
415,60,32.21494709
420,60,32.21494709
425,60,32.21494709
430,60,32.21494709
435,60,32.21494709
440,60,32.21494709
445,60,32.21494709
450,60,32.21494709
455,60,32.21494709
460,60,32.21494709
465,60,32.21494709
470,60,32.21494709
475,60,32.21494709
480,60,32.21494709
485,60,32.21494709
490,60,32.21494709
495,60,32.21494709
500,60,32.21494709
5,70,71.84185056
10,70,55.15093537
15,70,53.81379731
20,70,51.0340803
25,70,52.27915804
30,70,49.59070295
35,70,37.91269841
40,70,35.59183673
45,70,30.7069161
50,70,46.84353741
55,70,46.1899093
60,70,39.92403628
65,70,44.64739229
70,70,44.34410431
75,70,46.35941043
80,70,38.16439909
85,70,39.62471655
90,70,35.17063492
95,70,50.82482993
100,70,42.20578231
105,70,32.30952381
110,70,43.66609977
115,70,45.92800454
120,70,52.12188209
125,70,46.91950113
130,70,49.94331066
135,70,56.34807256
140,70,52.85997732
145,70,49.41950113
150,70,48.34807256
155,70,51.90192744
160,70,52.17743764
165,70,48.37981859
170,70,49.30668934
175,70,52.34410431
180,70,49.48526077
185,70,47.64852608
190,70,31.78911565
195,70,50.73696145
200,70,50.73696145
205,70,50.73696145
210,70,30.33276644
215,70,50.53287982
220,70,51.57029478
225,70,51.12811791
230,70,46.44444444
235,70,30.33276644
240,70,30.33276644
245,70,50.77097506
250,70,50.97505669
255,70,50.97505669
260,70,49.53287982
265,70,30.33276644
270,70,30.33276644
